Time Stamp,Type,Activity Id,Project Title,Outputs,Approval Date,GeoId,Name,Latitude,Longitude,Sectors,SectorCode,Donors,Commitments for this location,Disbursement for this location,Total Commitments,Total Disbursement,Transaction Type,CountryCode (ISO-2)
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,"Orientation on Total Sanitation and Behavioural Change to Schools, Communities and
Local Stakeholders in Sindhupalchowk","
		Schools and community stakeholders made aware about their responsibility and accountability for improved sanitation and hygiene situation in their communities.
		At least 1320 numbers ofHMs, SMC and PTA Chairpersons, VDC secretary, V-WASH-CC and S-WASH-CC chairpersons including RPs and SIs trained and mobilised to support adoption and replication of improved sanitation and hygiene behaviour and the ODF campaign
		At least 660 numbers of teachers 3-4 per school on an average from each school including RPs and SIs trained and mobilized to support adoption and replication of improved sanitation and hygiene behaviour and the ODF campaign
		Child club members 30 numbers in an average from each school trained, oriented and mobilized for sanitation campaign and monitoring.
		At least 80 % of the students practice hand washing with soap in all schools which have sanitation facilities within 37 programme VDCs.
		220 school catchments area level Plan of Action prepared and implemented as to complement and supplement the ODF campaign set under VDC level Strategic Plan/Plan of Action.
		Local resources generated to support hygiene and sanitation promotion
		Self-monitoring mechanism of school and community for monitoring sanitation and hygiene status established through enhanced coordination with V-WASH-CC and concerned stakeholders.
		74 local level sanitation champions trained, oriented and mobilized 2 each from 37 program VDCs.
		1110 members from 185 civil society organizations 6 per school on an average within 37program VDCs trained, oriented and mobilized for sanitation promotion.
		At least 666 numbers ofFCHVs trained, oriented and mobilized for sanitation promotion
		Established at least 176 functional resource centers in 176 schools out of 220 equipped with norms, disciplinary rules, brochures, social map for visibility and motivation in close coordination with relevant Sub-grantees",20:52.4,7647006,Sindhupalchok (Chautara),27.82936,85.54504,HEALTH - HEALTH,16050,United Nations Human Settlements Programme,181804,54541,181804,54541,,NP
Wed Jun 26 03:00:01 NPT 2013,District,87238934454,Legal Aid to Improve People's Access to Criminal Justice,"
	Output 1.1: Poor women and men in detention in at least 13 districts have access to quality criminal defence services. Output 1.2: Coordination and exchange among the stakeholders providing legal aid services is established, especially at the district level. Output 2.1: Government and civil society lawyers have access to quality training and expertise on criminal defence law and best practices. Output 2.2: Research on criminal legal aid delivery models is available and discussed",13:16.5,1283241,Kathmandu (Kathmandu),27.70704,85.33218,OTHERS - SOCIAL - OFF BUDGET,15130,Swiss Agency for Development and Cooperation,106765,43725,533827,218623,,NP
Wed Jun 26 03:00:01 NPT 2013,District,87238934454,Legal Aid to Improve People's Access to Criminal Justice,"
	Output 1.1: Poor women and men in detention in at least 13 districts have access to quality criminal defence services. Output 1.2: Coordination and exchange among the stakeholders providing legal aid services is established, especially at the district level. Output 2.1: Government and civil society lawyers have access to quality training and expertise on criminal defence law and best practices. Output 2.2: Research on criminal legal aid delivery models is available and discussed",13:16.5,1283262,Kanchanpur (Mahendara Nagar),28.83333,80.33333,OTHERS - SOCIAL - OFF BUDGET,15130,Swiss Agency for Development and Cooperation,106765,43725,533827,218623,,NP
Wed Jun 26 03:00:01 NPT 2013,District,87238934454,Legal Aid to Improve People's Access to Criminal Justice,"
	Output 1.1: Poor women and men in detention in at least 13 districts have access to quality criminal defence services. Output 1.2: Coordination and exchange among the stakeholders providing legal aid services is established, especially at the district level. Output 2.1: Government and civil society lawyers have access to quality training and expertise on criminal defence law and best practices. Output 2.2: Research on criminal legal aid delivery models is available and discussed",13:16.5,7648379,Dhanusa (Janakpur),26.83,86.01,OTHERS - SOCIAL - OFF BUDGET,15130,Swiss Agency for Development and Cooperation,106765,43725,533827,218623,,NP
Wed Jun 26 03:00:01 NPT 2013,District,87238934454,Legal Aid to Improve People's Access to Criminal Justice,"
	Output 1.1: Poor women and men in detention in at least 13 districts have access to quality criminal defence services. Output 1.2: Coordination and exchange among the stakeholders providing legal aid services is established, especially at the district level. Output 2.1: Government and civil society lawyers have access to quality training and expertise on criminal defence law and best practices. Output 2.2: Research on criminal legal aid delivery models is available and discussed",13:16.5,1283676,Banke (Nepalgunj),28.16667,81.83333,OTHERS - SOCIAL - OFF BUDGET,15130,Swiss Agency for Development and Cooperation,106765,43725,533827,218623,,NP
Wed Jun 26 03:00:01 NPT 2013,District,87238934454,Legal Aid to Improve People's Access to Criminal Justice,"
	Output 1.1: Poor women and men in detention in at least 13 districts have access to quality criminal defence services. Output 1.2: Coordination and exchange among the stakeholders providing legal aid services is established, especially at the district level. Output 2.1: Government and civil society lawyers have access to quality training and expertise on criminal defence law and best practices. Output 2.2: Research on criminal legal aid delivery models is available and discussed",13:16.5,1283085,Makwanpur (Hetauda),27.41667,85.25,OTHERS - SOCIAL - OFF BUDGET,15130,Swiss Agency for Development and Cooperation,106765,43725,533827,218623,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ReTA on Ecosystem Based Adaptation in Mountain Ecosystems in Nepal,"
	Priority adaptation actions implemented in selected districts to build communities' resilience to climate change",59:40.6,1282734,Syangja (Syangja),28,83.83333,Protection of biodiversity and landscape - FOREST,31220,Food and Agriculture Organization,1146697,,3372637,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ReTA on Ecosystem Based Adaptation in Mountain Ecosystems in Nepal,"
	Priority adaptation actions implemented in selected districts to build communities' resilience to climate change",59:40.6,1282939,Parbat (Kusma),28.41667,83.66667,Protection of biodiversity and landscape - FOREST,31220,Food and Agriculture Organization,1112970,,3372637,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ReTA on Ecosystem Based Adaptation in Mountain Ecosystems in Nepal,"
	Priority adaptation actions implemented in selected districts to build communities' resilience to climate change",59:40.6,1283243,Kaski (Pokhara),28.33333,84,Protection of biodiversity and landscape - FOREST,31220,Food and Agriculture Organization,1112970,,3372637,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282843,Rukum (Musikot),28.75,82.58333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283202,Khotang (Diktel),27.25,86.83333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283466,Dhankuta (Dhankuta),27,87.33333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282888,Pyuthan (Pyuthan Khalanga),28.08333,82.83333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282879,Ramechhap (Manthali),27.41667,86.08333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283489,Dang Deukhuri (Ghorahi),28,82.41667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283269,Kalikot (Kalikot),29.25,81.83333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282812,Sankhuwasabha (Khandbari),27.58333,87.33333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283712,Baglung (Baglung),28.41667,83.16667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283601,Bhojpur (Bhojpur),27.25,87.08333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282939,Parbat (Kusma),28.41667,83.66667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,7732361,Terhathum (Manglung),27.15,87.55,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283251,Kapilvastu (Taulihawa),27.66667,82.91667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283699,Bajhang (Chainpur),29.66667,81.25,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282837,Rupandehi (Bhairahawa),27.66667,83.41667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283020,Myagdi (Beni),28.58333,83.33333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282827,Jajarkot (Khalanga),28.41667,82.25,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283743,Achham (Mangalsen),29.08333,81.33333,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282827,Salyan (Salyan Khalanga),28.41667,82.25,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282969,Okhaldhunga (Okhaldhunga),27.33333,86.41667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282847,Rolpa (Liwang),28.41667,82.75,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1282991,Nawalparasi (Parasi),27.66667,83.91667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,2530224,270409,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723893300,Multi Stakeholder Forestry Programme (MSFP),"
	ÿ

	1ÿÿÿÿÿ Multi-stakeholder National Forest Entity legally established and operational.

	2ÿÿÿÿÿ National Forest Sector Strategy and other updated and/or new forest sector policies, plans and guidelines approved by government and endorsed by other stakeholders

	Government and non-state actors in multi-stakeholder structures have optimised capacity for forestry sector governance and implementation at different levels",52:00.9,1283497,Dailekh (Dullu),28.83333,81.66667,ENVIRONMENTAL PROTECTION - FOREST,31210,Finland - Swiss Agency for Development and Cooperation - Department for International Development,3162780,338012,63255604,6760232,,NP
Wed Jun 26 03:00:01 NPT 2013,Region,87238982259,"SAFE Media Nepal: A Safe, Able, Free and Empowered media for the promotion of human rights, democracy and peace in Nepal","
	research about the perception of the media; incresed knowledge and capacity built up of the journalism on the conflict sensitivity; polkicy dialogues for policy advocacy",39:09.9,7289708,Eastern (Purwanchal),27.23998,87.14802,Communication - COMMUNICATIONS,15163,European Union,320849,82565,320849,82565,,NP
